Date,High,Low,Close,Adj Close,Volume,Open
12/12/1980,0.515625,0.513393,0.513393,0.405683,117258400,0.513393
12/15/1980,0.488839,0.486607,0.486607,0.384517,43971200,0.488839
12/16/1980,0.453125,0.450893,0.450893,0.356296,26432000,0.453125
12/17/1980,0.464286,0.462054,0.462054,0.365115,21610400,0.462054
12/18/1980,0.477679,0.475446,0.475446,0.375698,18362400,0.475446
12/19/1980,0.506696,0.504464,0.504464,0.398628,12157600,0.504464
12/22/1980,0.53125,0.529018,0.529018,0.41803,9340800,0.529018
12/23/1980,0.553571,0.551339,0.551339,0.435669,11737600,0.551339
12/24/1980,0.582589,0.580357,0.580357,0.458599,12000800,0.580357
12/26/1980,0.636161,0.633929,0.633929,0.500931,13893600,0.633929
12/29/1980,0.645089,0.642857,0.642857,0.507986,23290400,0.642857
12/30/1980,0.629464,0.627232,0.627232,0.495639,17220000,0.629464
12/31/1980,0.611607,0.609375,0.609375,0.481528,8937600,0.611607
1/2/1981,0.620536,0.616071,0.616071,0.48682,5415200,0.616071
1/5/1981,0.604911,0.602679,0.602679,0.476237,8932000,0.604911
1/6/1981,0.578125,0.575893,0.575893,0.455071,11289600,0.578125
1/7/1981,0.553571,0.551339,0.551339,0.435669,13921600,0.553571
1/8/1981,0.542411,0.540179,0.540179,0.426849,9956800,0.542411
1/9/1981,0.571429,0.569196,0.569196,0.449779,5376000,0.569196
1/12/1981,0.569196,0.564732,0.564732,0.446252,5924800,0.569196
1/13/1981,0.546875,0.544643,0.544643,0.430377,5762400,0.546875
1/14/1981,0.549107,0.546875,0.546875,0.432141,3572800,0.546875
1/15/1981,0.5625,0.558036,0.558036,0.44096,3516800,0.558036
1/16/1981,0.555804,0.553571,0.553571,0.437432,3348800,0.555804
1/19/1981,0.589286,0.587054,0.587054,0.46389,10393600,0.587054
1/20/1981,0.571429,0.569196,0.569196,0.449779,7520800,0.571429
1/21/1981,0.584821,0.580357,0.580357,0.458599,3976000,0.580357
1/22/1981,0.591518,0.587054,0.587054,0.46389,8887200,0.587054
1/23/1981,0.589286,0.584821,0.584821,0.462126,2805600,0.587054
1/26/1981,0.578125,0.575893,0.575893,0.455071,6160000,0.578125
1/27/1981,0.575893,0.571429,0.571429,0.451543,5924800,0.575893
1/28/1981,0.555804,0.553571,0.553571,0.437432,7039200,0.555804
1/29/1981,0.535714,0.533482,0.533482,0.421558,10976000,0.535714
1/30/1981,0.508929,0.504464,0.504464,0.398628,11547200,0.508929
